epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.23,0.95,0.825,0.655,0.465,0.37,0.295,0.745,0.64,3.8237279392778873,0.04376220703125,0.0
2,0.2,0.95,0.86,0.675,0.47,0.415,0.305,0.74,0.64,3.2623408064246178,0.055938720703125,0.0
3,0.28,0.945,0.875,0.725,0.555,0.5,0.38,0.83,0.7,3.3387622088193893,0.054229736328125,0.0
4,0.31,0.94,0.885,0.75,0.56,0.44,0.37,0.82,0.71,3.868682134896517,0.045013427734375,0.0
5,0.21,0.92,0.8,0.625,0.4,0.34,0.24,0.715,0.58,3.214418698102236,0.0548095703125,0.0
6,0.27,0.94,0.89,0.73,0.59,0.46,0.385,0.83,0.695,3.447534181177616,0.0500640869140625,0.0
7,0.255,0.955,0.85,0.735,0.52,0.425,0.335,0.78,0.68,4.210229594260454,0.0362091064453125,0.0
8,0.395,0.955,0.92,0.82,0.695,0.595,0.485,0.925,0.825,2.526822507381439,0.07958984375,0.0
9,0.265,0.95,0.885,0.75,0.51,0.435,0.345,0.815,0.67,4.092520579695702,0.0340728759765625,0.0
10,0.31,0.93,0.895,0.75,0.64,0.535,0.44,0.865,0.745,2.5318485014140606,0.079833984375,0.0



