epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.48,0.275,0.09,0.025,0.02,0.015,0.105,0.06,7.232358284294605,0.0006103515625,0.0
2,0.005,0.595,0.355,0.15,0.04,0.025,0.02,0.165,0.07,6.8353890255093575,0.0014190673828125,0.0
3,0.05,0.81,0.64,0.36,0.19,0.14,0.075,0.455,0.305,6.35665987432003,0.0032501220703125,0.0
4,0.08,0.87,0.715,0.505,0.325,0.245,0.145,0.62,0.46,6.033202387392521,0.0058746337890625,0.0
5,0.08,0.89,0.75,0.55,0.355,0.29,0.13,0.635,0.49,5.839032404124737,0.007659912109375,0.0
6,0.155,0.925,0.855,0.635,0.46,0.35,0.25,0.755,0.57,5.686384238302708,0.0095367431640625,0.0
7,0.195,0.94,0.81,0.71,0.48,0.375,0.275,0.765,0.65,5.5522400215268135,0.01080322265625,0.0
8,0.195,0.92,0.83,0.655,0.475,0.375,0.285,0.785,0.63,5.419291369616985,0.0125732421875,0.0
9,0.195,0.925,0.82,0.69,0.485,0.38,0.29,0.795,0.665,5.286961756646633,0.0145721435546875,0.0
10,0.21,0.94,0.86,0.715,0.525,0.42,0.305,0.795,0.655,5.167504757642746,0.0166168212890625,0.0
11,0.22,0.94,0.865,0.745,0.515,0.425,0.285,0.815,0.7,5.04163770377636,0.0184173583984375,0.0
12,0.245,0.96,0.83,0.76,0.55,0.465,0.34,0.805,0.675,4.916573166847229,0.0203857421875,0.0
13,0.215,0.945,0.855,0.72,0.525,0.39,0.33,0.78,0.67,4.7972721606493,0.0221099853515625,0.0
14,0.23,0.92,0.87,0.69,0.52,0.385,0.32,0.78,0.645,4.674012899398804,0.0233612060546875,0.0
15,0.23,0.93,0.855,0.75,0.53,0.485,0.325,0.81,0.65,4.555977575480938,0.026031494140625,0.0
16,0.215,0.91,0.845,0.705,0.49,0.44,0.325,0.795,0.67,4.433016933500767,0.0281219482421875,0.0
17,0.235,0.925,0.85,0.675,0.505,0.455,0.29,0.785,0.63,4.321181125938892,0.030426025390625,0.0
18,0.22,0.955,0.885,0.695,0.515,0.41,0.305,0.83,0.66,4.195517368614674,0.032379150390625,0.0
19,0.265,0.95,0.885,0.75,0.51,0.435,0.345,0.815,0.67,4.092520579695702,0.0340728759765625,0.0
20,0.26,0.95,0.815,0.735,0.535,0.425,0.335,0.795,0.67,3.977594595402479,0.036224365234375,0.0
21,0.26,0.94,0.8,0.705,0.51,0.455,0.33,0.775,0.655,3.8755351938307285,0.0390625,0.0
22,0.245,0.94,0.865,0.685,0.5,0.44,0.335,0.805,0.635,3.7729461193084717,0.04071044921875,0.0
23,0.245,0.935,0.87,0.715,0.535,0.4,0.335,0.785,0.64,3.669681776314974,0.0435028076171875,0.0
24,0.22,0.905,0.87,0.705,0.515,0.43,0.32,0.775,0.665,3.5749316178262234,0.046142578125,0.0
25,0.245,0.945,0.855,0.67,0.52,0.405,0.32,0.785,0.65,3.484571848064661,0.048370361328125,0.0
26,0.23,0.905,0.84,0.695,0.465,0.4,0.285,0.775,0.61,3.3829656913876534,0.0492706298828125,0.0
27,0.25,0.935,0.83,0.72,0.51,0.415,0.325,0.775,0.605,3.3024283424019814,0.05279541015625,0.0
28,0.245,0.94,0.9,0.7,0.53,0.425,0.325,0.79,0.66,3.2140201181173325,0.0570526123046875,0.0
29,0.265,0.93,0.83,0.645,0.495,0.425,0.315,0.72,0.63,3.134432453662157,0.057525634765625,0.0
30,0.24,0.94,0.85,0.695,0.505,0.44,0.305,0.77,0.63,3.05687066167593,0.0591888427734375,0.0
31,0.2,0.92,0.86,0.645,0.5,0.405,0.245,0.74,0.61,2.9705557599663734,0.059783935546875,0.0
32,0.235,0.915,0.83,0.735,0.52,0.415,0.345,0.74,0.655,2.9048155285418034,0.061859130859375,0.0
33,0.215,0.935,0.85,0.68,0.51,0.395,0.265,0.78,0.645,2.8236366137862206,0.06622314453125,0.0
34,0.215,0.93,0.855,0.705,0.53,0.42,0.295,0.77,0.635,2.7511479891836643,0.068603515625,0.0
35,0.24,0.945,0.855,0.71,0.525,0.435,0.315,0.735,0.655,2.6777422092854977,0.07073974609375,0.0
36,0.235,0.92,0.81,0.67,0.505,0.4,0.295,0.765,0.615,2.615069590508938,0.07354736328125,0.0
37,0.215,0.92,0.815,0.68,0.475,0.43,0.315,0.75,0.605,2.565728325396776,0.07421875,0.0
38,0.235,0.92,0.845,0.66,0.5,0.405,0.32,0.76,0.63,2.5029574669897556,0.076141357421875,0.0
39,0.225,0.92,0.785,0.66,0.515,0.445,0.28,0.77,0.645,2.4356158450245857,0.07843017578125,0.0
40,0.215,0.93,0.82,0.685,0.5,0.375,0.3,0.785,0.635,2.3881646282970905,0.0802001953125,0.0
19,0.265,0.95,0.885,0.75,0.51,0.435,0.345,0.815,0.67,4.092520579695702,0.0340728759765625,0.0
