epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.0,0.465,0.215,0.06,0.02,0.01,0.0,0.085,0.04,6.945209316909313,0.000518798828125,0.0
2,0.0,0.485,0.25,0.095,0.02,0.005,0.005,0.075,0.035,6.926429748535156,0.0006561279296875,0.0
3,0.0,0.47,0.24,0.07,0.02,0.015,0.0,0.075,0.035,6.9132414534688,0.000823974609375,0.0
4,0.005,0.475,0.235,0.105,0.025,0.015,0.015,0.085,0.045,6.901043564081192,0.0009002685546875,0.0
5,0.005,0.48,0.235,0.1,0.025,0.02,0.01,0.1,0.06,6.888396039605141,0.001007080078125,0.0
6,0.005,0.51,0.245,0.13,0.03,0.03,0.005,0.105,0.065,6.874393455684185,0.0011138916015625,0.0
7,0.005,0.465,0.24,0.13,0.04,0.03,0.005,0.125,0.07,6.858682349324226,0.0012664794921875,0.0
8,0.005,0.505,0.265,0.13,0.03,0.025,0.01,0.105,0.08,6.840639501810074,0.001434326171875,0.0
9,0.01,0.495,0.215,0.095,0.03,0.02,0.015,0.11,0.045,6.820687398314476,0.00164794921875,0.0
10,0.01,0.45,0.235,0.095,0.02,0.015,0.015,0.1,0.06,6.798485808074474,0.00177001953125,0.0
11,0.01,0.48,0.26,0.075,0.025,0.025,0.01,0.09,0.055,6.774392977356911,0.0019989013671875,0.0
12,0.01,0.505,0.26,0.075,0.02,0.015,0.015,0.11,0.03,6.748474784195423,0.0023651123046875,0.0
13,0.0,0.515,0.255,0.065,0.03,0.01,0.0,0.11,0.05,6.721740730106831,0.002410888671875,0.0
14,0.0,0.525,0.275,0.085,0.03,0.02,0.01,0.085,0.045,6.694608047604561,0.0028228759765625,0.0
15,0.005,0.515,0.27,0.095,0.025,0.015,0.01,0.075,0.045,6.666807867586613,0.0028228759765625,0.0
16,0.01,0.465,0.26,0.11,0.025,0.02,0.02,0.1,0.035,6.639885060489178,0.0029449462890625,0.0
17,0.005,0.51,0.265,0.1,0.02,0.02,0.005,0.105,0.065,6.612034186720848,0.0032196044921875,0.0
18,0.005,0.52,0.26,0.105,0.015,0.02,0.015,0.095,0.035,6.585441790521145,0.003326416015625,0.0
19,0.0,0.52,0.22,0.105,0.03,0.015,0.005,0.095,0.045,6.558789253234863,0.003631591796875,0.0
20,0.005,0.515,0.25,0.075,0.015,0.015,0.01,0.1,0.035,6.532272793352604,0.0037841796875,0.0
21,0.005,0.485,0.255,0.115,0.02,0.02,0.005,0.095,0.05,6.506159991025925,0.0040283203125,0.0
22,0.005,0.495,0.245,0.125,0.02,0.01,0.01,0.095,0.065,6.480831980705261,0.0043792724609375,0.0
23,0.005,0.525,0.23,0.105,0.02,0.005,0.005,0.11,0.04,6.4556533098220825,0.00433349609375,0.0
24,0.005,0.465,0.28,0.1,0.02,0.025,0.01,0.105,0.045,6.431710407137871,0.0045318603515625,0.0
25,0.0,0.46,0.27,0.105,0.005,0.005,0.005,0.105,0.045,6.4091721922159195,0.004791259765625,0.0
26,0.005,0.51,0.25,0.11,0.02,0.025,0.005,0.115,0.035,6.391348645091057,0.0048065185546875,0.0
27,0.0,0.47,0.24,0.095,0.015,0.01,0.005,0.075,0.025,6.362508706748486,0.0051116943359375,0.0
28,0.0,0.545,0.245,0.105,0.025,0.025,0.015,0.095,0.055,6.3396486565470695,0.00531005859375,0.0
29,0.0,0.55,0.27,0.1,0.0,0.01,0.0,0.1,0.035,6.316036857664585,0.005340576171875,0.0
30,0.0,0.55,0.27,0.12,0.005,0.005,0.0,0.11,0.02,6.293620407581329,0.0055389404296875,0.0
31,0.01,0.565,0.26,0.105,0.035,0.035,0.02,0.115,0.07,6.272447340190411,0.0056610107421875,0.0
32,0.0,0.505,0.235,0.09,0.015,0.0,0.0,0.085,0.035,6.251804627478123,0.006103515625,0.0
33,0.005,0.57,0.245,0.105,0.025,0.035,0.015,0.11,0.05,6.23183473944664,0.0063629150390625,0.0
34,0.0,0.535,0.26,0.15,0.01,0.01,0.0,0.12,0.055,6.210624739527702,0.006591796875,0.0
35,0.005,0.49,0.265,0.145,0.03,0.015,0.015,0.11,0.055,6.1925976648926735,0.006744384765625,0.0
36,0.005,0.51,0.3,0.105,0.04,0.02,0.02,0.095,0.055,6.171748600900173,0.00726318359375,0.0
37,0.01,0.545,0.225,0.095,0.025,0.015,0.03,0.095,0.04,6.1758507415652275,0.0069732666015625,0.0
38,0.0,0.56,0.265,0.11,0.02,0.015,0.005,0.095,0.04,6.140634581446648,0.0073089599609375,0.0
39,0.005,0.56,0.225,0.09,0.02,0.01,0.005,0.12,0.04,6.122256137430668,0.0076141357421875,0.0
40,0.005,0.545,0.245,0.08,0.025,0.005,0.015,0.075,0.04,6.0991101115942,0.0076141357421875,0.0
9,0.01,0.495,0.215,0.095,0.03,0.02,0.015,0.11,0.045,6.820687398314476,0.00164794921875,0.0
