epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
11.0,0.285,0.945,0.91,0.73,0.595,0.475,0.375,0.86,0.705,4.003948010504246,0.0438232421875,0.0
30.0,0.38,0.985,0.91,0.87,0.71,0.575,0.49,0.895,0.8,0.5182185196317732,0.219390869140625,0.0
22.0,0.315,0.94,0.84,0.75,0.51,0.465,0.385,0.795,0.655,1.36261685192585,0.137725830078125,0.0
11.0,0.235,0.92,0.825,0.715,0.575,0.455,0.315,0.775,0.66,4.362015448510647,0.0324249267578125,0.0
15.0,0.305,0.95,0.865,0.74,0.585,0.51,0.37,0.835,0.74,2.5505308732390404,0.086761474609375,0.0
15.0,0.225,0.925,0.79,0.685,0.46,0.385,0.3,0.75,0.595,2.53431923314929,0.083099365234375,0.0
25.0,0.3,0.96,0.895,0.75,0.625,0.5,0.405,0.85,0.74,0.8529575420543551,0.181915283203125,0.0
19.0,0.285,0.925,0.875,0.775,0.595,0.505,0.37,0.8,0.705,1.4312644377350807,0.1382598876953125,0.0
16.0,0.195,0.91,0.75,0.6,0.42,0.335,0.25,0.675,0.54,2.8830079436302185,0.072479248046875,0.0
27.0,0.255,0.94,0.86,0.67,0.54,0.47,0.355,0.785,0.685,0.8104900820180774,0.1836090087890625,0.0
