epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.495,0.21,0.09,0.025,0.01,0.015,0.105,0.04,7.159576967358589,0.0005645751953125,0.0
2,0.01,0.705,0.455,0.21,0.045,0.055,0.02,0.215,0.11,6.914388582110405,0.0007171630859375,0.0
3,0.045,0.745,0.595,0.365,0.17,0.15,0.07,0.385,0.26,6.558891639113426,0.0019378662109375,0.0
4,0.08,0.89,0.685,0.47,0.275,0.24,0.12,0.545,0.385,6.250208646059036,0.0036163330078125,0.0
5,0.075,0.865,0.75,0.52,0.305,0.18,0.105,0.61,0.435,6.036520726978779,0.0059814453125,0.0
6,0.11,0.885,0.705,0.515,0.37,0.26,0.19,0.65,0.5,5.8442388996481895,0.0074310302734375,0.0
7,0.12,0.915,0.78,0.565,0.355,0.27,0.195,0.655,0.51,5.645182371139526,0.0109710693359375,0.0
8,0.1,0.92,0.78,0.555,0.375,0.285,0.15,0.695,0.52,5.3998281210660934,0.014068603515625,0.0
9,0.135,0.905,0.815,0.64,0.375,0.29,0.23,0.65,0.49,5.12659514695406,0.0180511474609375,0.0
10,0.175,0.905,0.825,0.645,0.4,0.34,0.265,0.705,0.55,4.818243823945522,0.0229949951171875,0.0
11,0.135,0.9,0.81,0.59,0.365,0.315,0.185,0.655,0.505,4.488106206059456,0.0292510986328125,0.0
12,0.165,0.94,0.785,0.58,0.37,0.32,0.245,0.7,0.53,4.13936922699213,0.037078857421875,0.0
13,0.14,0.935,0.735,0.65,0.43,0.315,0.21,0.67,0.57,3.8030080422759056,0.0449981689453125,0.0
14,0.16,0.925,0.82,0.625,0.425,0.315,0.225,0.7,0.57,3.482050959020853,0.0526123046875,0.0
15,0.13,0.96,0.78,0.615,0.37,0.32,0.205,0.685,0.52,3.1649193465709686,0.0617828369140625,0.0
16,0.195,0.91,0.75,0.6,0.42,0.335,0.25,0.675,0.54,2.8830079436302185,0.072479248046875,0.0
17,0.15,0.92,0.715,0.585,0.4,0.31,0.21,0.66,0.53,2.6008412837982178,0.0814361572265625,0.0
18,0.145,0.91,0.76,0.575,0.415,0.325,0.225,0.66,0.535,2.3475788198411465,0.0909271240234375,0.0
19,0.15,0.895,0.81,0.625,0.425,0.315,0.24,0.65,0.515,2.104994971305132,0.0999603271484375,0.0
20,0.16,0.925,0.755,0.58,0.4,0.32,0.21,0.625,0.515,1.8774073757231236,0.1107635498046875,0.0
21,0.145,0.915,0.825,0.64,0.435,0.33,0.25,0.685,0.56,1.6756276804953814,0.12109375,0.0
22,0.165,0.89,0.78,0.63,0.4,0.335,0.235,0.64,0.53,1.487514903768897,0.1308746337890625,0.0
23,0.15,0.905,0.795,0.61,0.39,0.3,0.21,0.675,0.525,1.3154801540076733,0.1418304443359375,0.0
24,0.15,0.88,0.81,0.615,0.425,0.31,0.275,0.655,0.555,1.1820119246840477,0.14984130859375,0.0
25,0.145,0.95,0.79,0.565,0.405,0.305,0.245,0.66,0.51,1.051289520226419,0.161163330078125,0.0
26,0.175,0.92,0.815,0.59,0.42,0.33,0.27,0.665,0.525,0.9402791941538453,0.1700286865234375,0.0
27,0.14,0.855,0.73,0.59,0.39,0.3,0.2,0.635,0.525,0.8539266847074032,0.178192138671875,0.0
28,0.155,0.875,0.765,0.585,0.385,0.3,0.22,0.65,0.485,0.7765731364488602,0.183837890625,0.0
29,0.12,0.91,0.78,0.58,0.39,0.26,0.195,0.685,0.5,0.7102302443236113,0.191680908203125,0.0
30,0.135,0.9,0.76,0.605,0.405,0.315,0.21,0.64,0.495,0.6515554552897811,0.198272705078125,0.0
31,0.13,0.925,0.78,0.58,0.405,0.295,0.215,0.66,0.515,0.6074679214507341,0.204803466796875,0.0
32,0.15,0.925,0.805,0.585,0.415,0.28,0.22,0.695,0.495,0.5685892859473825,0.210784912109375,0.0
33,0.1,0.895,0.775,0.54,0.4,0.295,0.185,0.645,0.515,0.5364531525410712,0.2159881591796875,0.0
34,0.115,0.895,0.81,0.54,0.38,0.285,0.2,0.65,0.5,0.510371417272836,0.2182159423828125,0.0
35,0.13,0.89,0.735,0.585,0.39,0.285,0.2,0.625,0.49,0.4807161348871887,0.221435546875,0.0
36,0.135,0.895,0.75,0.62,0.395,0.335,0.215,0.675,0.53,0.4598946734331548,0.225616455078125,0.0
37,0.13,0.89,0.74,0.595,0.4,0.285,0.22,0.63,0.52,0.44095735531300306,0.2316436767578125,0.0
38,0.15,0.895,0.78,0.595,0.42,0.3,0.23,0.645,0.5,0.4262298448011279,0.2316131591796875,0.0
39,0.105,0.905,0.785,0.575,0.4,0.29,0.2,0.595,0.48,0.410023903939873,0.2347564697265625,0.0
40,0.125,0.88,0.76,0.54,0.385,0.285,0.195,0.635,0.48,0.39558792021125555,0.2368011474609375,0.0
16,0.195,0.91,0.75,0.6,0.42,0.335,0.25,0.675,0.54,2.8830079436302185,0.072479248046875,0.0
