epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.205,0.965,0.835,0.685,0.47,0.37,0.27,0.77,0.625,3.950236290693283,0.04095458984375,0.0
2,0.135,0.9,0.805,0.54,0.305,0.275,0.18,0.66,0.48,3.1403443813323975,0.0655517578125,0.0
3,0.215,0.91,0.845,0.7,0.485,0.415,0.315,0.775,0.64,4.832799352705479,0.0232391357421875,0.0
4,0.21,0.945,0.865,0.675,0.49,0.42,0.295,0.76,0.6,4.362853541970253,0.034088134765625,0.0
5,0.145,0.87,0.745,0.54,0.36,0.3,0.205,0.6,0.445,2.924219150096178,0.071502685546875,0.0
6,0.2,0.91,0.83,0.64,0.49,0.365,0.315,0.7,0.605,3.9325104877352715,0.0423126220703125,0.0
7,0.255,0.93,0.845,0.7,0.53,0.45,0.32,0.75,0.64,3.3007544577121735,0.0608062744140625,0.0
8,0.305,0.915,0.885,0.715,0.55,0.495,0.385,0.79,0.7,4.3549667447805405,0.031982421875,0.0
9,0.195,0.93,0.76,0.62,0.4,0.33,0.265,0.645,0.51,3.6482748240232468,0.0496063232421875,0.0
10,0.205,0.965,0.835,0.685,0.47,0.37,0.27,0.77,0.625,3.950236290693283,0.04095458984375,0.0
