epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.01,0.705,0.495,0.175,0.06,0.05,0.025,0.22,0.105,7.0360676646232605,0.0008544921875,0.0
2,0.035,0.815,0.635,0.34,0.155,0.12,0.065,0.46,0.26,6.520011581480503,0.00201416015625,0.0
3,0.095,0.865,0.67,0.435,0.265,0.165,0.11,0.53,0.4,6.203097403049469,0.0044708251953125,0.0
4,0.085,0.87,0.705,0.55,0.285,0.225,0.135,0.6,0.45,5.9392703622579575,0.007110595703125,0.0
5,0.08,0.89,0.745,0.525,0.335,0.185,0.15,0.605,0.465,5.7180440351367,0.0098876953125,0.0
6,0.125,0.895,0.77,0.61,0.35,0.28,0.18,0.64,0.495,5.494958832859993,0.012298583984375,0.0
7,0.14,0.86,0.75,0.54,0.345,0.275,0.215,0.645,0.475,5.2342874482274055,0.01641845703125,0.0
8,0.085,0.91,0.745,0.56,0.31,0.24,0.135,0.67,0.475,4.951517827808857,0.020965576171875,0.0
9,0.095,0.895,0.715,0.52,0.335,0.245,0.14,0.635,0.465,4.6348138973116875,0.026214599609375,0.0
10,0.135,0.86,0.745,0.57,0.35,0.275,0.215,0.66,0.485,4.297090657055378,0.0335235595703125,0.0
11,0.12,0.865,0.765,0.56,0.335,0.285,0.225,0.675,0.475,3.9478341676294804,0.0418548583984375,0.0
12,0.13,0.875,0.765,0.545,0.34,0.29,0.165,0.63,0.47,3.5992656089365482,0.049835205078125,0.0
13,0.125,0.87,0.715,0.535,0.295,0.225,0.16,0.59,0.405,3.257144894450903,0.0611724853515625,0.0
14,0.145,0.87,0.745,0.54,0.36,0.3,0.205,0.6,0.445,2.924219150096178,0.071502685546875,0.0
15,0.105,0.875,0.705,0.525,0.335,0.275,0.165,0.59,0.45,2.5985311940312386,0.081787109375,0.0
16,0.11,0.88,0.71,0.51,0.29,0.255,0.16,0.585,0.42,2.279832111671567,0.0941314697265625,0.0
17,0.105,0.84,0.685,0.52,0.285,0.2,0.165,0.515,0.405,1.9939241707324982,0.1080169677734375,0.0
18,0.115,0.81,0.665,0.455,0.275,0.24,0.155,0.525,0.37,1.7168555110692978,0.12103271484375,0.0
19,0.12,0.85,0.645,0.44,0.25,0.215,0.135,0.54,0.38,1.4703096523880959,0.1326751708984375,0.0
20,0.12,0.84,0.695,0.465,0.27,0.195,0.165,0.505,0.35,1.236916944384575,0.15045166015625,0.0
21,0.095,0.85,0.64,0.445,0.255,0.19,0.13,0.475,0.335,1.0400213599205017,0.162109375,0.0
22,0.095,0.82,0.635,0.49,0.265,0.21,0.15,0.495,0.35,0.8668241752311587,0.1750946044921875,0.0
23,0.11,0.81,0.625,0.435,0.23,0.19,0.155,0.44,0.31,0.7205462111160159,0.188934326171875,0.0
24,0.1,0.79,0.65,0.43,0.27,0.19,0.14,0.47,0.325,0.6027513747103512,0.19970703125,0.0
25,0.095,0.85,0.675,0.41,0.24,0.2,0.135,0.505,0.34,0.5074949874542654,0.2100830078125,0.0
26,0.1,0.83,0.625,0.39,0.235,0.2,0.135,0.46,0.31,0.43224531365558505,0.21966552734375,0.0
27,0.11,0.8,0.625,0.45,0.25,0.19,0.15,0.485,0.34,0.374923137947917,0.2273406982421875,0.0
28,0.08,0.82,0.63,0.46,0.225,0.18,0.14,0.47,0.34,0.3318318105302751,0.234588623046875,0.0
29,0.085,0.86,0.68,0.425,0.25,0.215,0.13,0.475,0.34,0.29533691331744194,0.2412261962890625,0.0
30,0.09,0.825,0.61,0.43,0.255,0.175,0.135,0.46,0.335,0.2732932229992002,0.2460479736328125,0.0
31,0.1,0.825,0.68,0.42,0.255,0.19,0.125,0.455,0.32,0.25184776703827083,0.2513580322265625,0.0
32,0.105,0.76,0.675,0.4,0.23,0.22,0.135,0.435,0.305,0.2367717088200152,0.2540435791015625,0.0
33,0.1,0.825,0.655,0.44,0.27,0.21,0.155,0.47,0.335,0.22465623077005148,0.2576141357421875,0.0
34,0.08,0.815,0.58,0.44,0.25,0.195,0.125,0.465,0.355,0.21781420288607478,0.2595977783203125,0.0
35,0.1,0.815,0.64,0.42,0.25,0.19,0.14,0.445,0.305,0.2090185300912708,0.2620849609375,0.0
36,0.08,0.81,0.6,0.4,0.255,0.185,0.12,0.46,0.32,0.20068967761471868,0.2649993896484375,0.0
37,0.1,0.81,0.65,0.435,0.24,0.195,0.16,0.45,0.315,0.19508492341265082,0.2671966552734375,0.0
38,0.105,0.8,0.635,0.405,0.235,0.19,0.12,0.44,0.33,0.19176614843308926,0.2687225341796875,0.0
39,0.105,0.76,0.615,0.38,0.25,0.2,0.155,0.435,0.33,0.18756032641977072,0.270751953125,0.0
40,0.09,0.79,0.6,0.44,0.255,0.205,0.135,0.48,0.385,0.18421466019935906,0.27130126953125,0.0
14,0.145,0.87,0.745,0.54,0.36,0.3,0.205,0.6,0.445,2.924219150096178,0.071502685546875,0.0
