epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.135,0.925,0.82,0.615,0.4,0.31,0.215,0.685,0.53,5.334296315908432,0.0157012939453125,0.0
2,0.175,0.89,0.815,0.675,0.455,0.335,0.25,0.73,0.605,5.42615470290184,0.014495849609375,0.0
3,0.2,0.915,0.79,0.675,0.43,0.365,0.26,0.755,0.62,4.642180405557156,0.0262451171875,0.0
4,0.25,0.965,0.885,0.73,0.53,0.4,0.325,0.815,0.66,5.281774595379829,0.0182647705078125,0.0
5,0.13,0.835,0.715,0.475,0.29,0.24,0.175,0.55,0.395,5.810224637389183,0.01068115234375,0.0
6,0.195,0.88,0.84,0.58,0.415,0.325,0.275,0.7,0.53,4.885087125003338,0.0230865478515625,0.0
7,0.175,0.955,0.775,0.61,0.43,0.32,0.245,0.7,0.56,4.5914333909749985,0.025604248046875,0.0
8,0.255,0.925,0.84,0.69,0.565,0.465,0.33,0.81,0.68,5.284698277711868,0.0176544189453125,0.0
9,0.16,0.895,0.815,0.635,0.405,0.345,0.21,0.73,0.56,5.443202547729015,0.014251708984375,0.0
10,0.255,0.94,0.87,0.73,0.56,0.45,0.375,0.815,0.7,4.706655748188496,0.0278472900390625,0.0
