epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.505,0.25,0.14,0.025,0.02,0.015,0.095,0.07,6.95289571583271,0.0009613037109375,0.0
2,0.005,0.545,0.295,0.15,0.04,0.035,0.015,0.135,0.075,6.52855060249567,0.003021240234375,0.0
3,0.01,0.65,0.355,0.17,0.06,0.055,0.03,0.2,0.125,6.291301898658276,0.0048828125,0.0
4,0.03,0.75,0.52,0.29,0.11,0.095,0.06,0.31,0.22,6.146515719592571,0.00653076171875,0.0
5,0.08,0.82,0.715,0.445,0.295,0.27,0.145,0.53,0.395,6.037387080490589,0.0081024169921875,0.0
6,0.14,0.875,0.745,0.595,0.37,0.25,0.185,0.635,0.5,5.950453221797943,0.007965087890625,0.0
7,0.14,0.91,0.81,0.6,0.415,0.3,0.205,0.69,0.56,5.871719919145107,0.0100250244140625,0.0
8,0.14,0.915,0.84,0.6,0.435,0.33,0.225,0.7,0.555,5.804047726094723,0.009796142578125,0.0
9,0.15,0.9,0.78,0.63,0.44,0.36,0.22,0.74,0.585,5.74375082552433,0.0108489990234375,0.0
10,0.135,0.915,0.82,0.64,0.435,0.32,0.235,0.75,0.57,5.687347911298275,0.0109405517578125,0.0
11,0.14,0.905,0.785,0.63,0.445,0.335,0.235,0.74,0.585,5.634839601814747,0.011962890625,0.0
12,0.16,0.925,0.855,0.64,0.47,0.325,0.265,0.72,0.585,5.589806787669659,0.0129241943359375,0.0
13,0.165,0.94,0.835,0.665,0.445,0.39,0.245,0.75,0.575,5.541183069348335,0.0130462646484375,0.0
14,0.165,0.925,0.82,0.635,0.445,0.335,0.25,0.735,0.6,5.501096308231354,0.0136566162109375,0.0
15,0.15,0.94,0.795,0.63,0.44,0.315,0.23,0.76,0.625,5.457357577979565,0.0145721435546875,0.0
16,0.175,0.89,0.815,0.675,0.455,0.335,0.25,0.73,0.605,5.42615470290184,0.014495849609375,0.0
17,0.16,0.935,0.79,0.625,0.445,0.29,0.25,0.735,0.565,5.388925902545452,0.014984130859375,0.0
18,0.16,0.96,0.84,0.625,0.46,0.375,0.27,0.745,0.615,5.351207531988621,0.016326904296875,0.0
19,0.165,0.93,0.825,0.625,0.435,0.36,0.24,0.745,0.585,5.31620129942894,0.0164031982421875,0.0
20,0.145,0.885,0.83,0.6,0.405,0.36,0.24,0.72,0.6,5.290232419967651,0.017059326171875,0.0
21,0.14,0.91,0.8,0.65,0.435,0.325,0.22,0.73,0.6,5.252989284694195,0.01690673828125,0.0
22,0.145,0.925,0.825,0.61,0.425,0.335,0.22,0.715,0.565,5.232067286968231,0.016510009765625,0.0
23,0.13,0.93,0.82,0.625,0.435,0.34,0.2,0.745,0.59,5.203952491283417,0.0179290771484375,0.0
24,0.15,0.92,0.775,0.635,0.425,0.315,0.22,0.715,0.56,5.179157301783562,0.01800537109375,0.0
25,0.155,0.945,0.84,0.655,0.42,0.315,0.225,0.715,0.57,5.150332145392895,0.0174407958984375,0.0
26,0.165,0.915,0.815,0.64,0.435,0.32,0.22,0.725,0.56,5.124835781753063,0.0192718505859375,0.0
27,0.16,0.91,0.78,0.665,0.415,0.32,0.215,0.725,0.575,5.105738826096058,0.01947021484375,0.0
28,0.13,0.91,0.795,0.675,0.4,0.29,0.21,0.735,0.54,5.080763950943947,0.0187530517578125,0.0
29,0.135,0.9,0.785,0.605,0.425,0.325,0.205,0.71,0.58,5.054729484021664,0.0196533203125,0.0
30,0.145,0.905,0.8,0.625,0.415,0.33,0.24,0.7,0.57,5.029847711324692,0.01983642578125,0.0
31,0.145,0.92,0.785,0.65,0.42,0.325,0.215,0.71,0.565,5.013505905866623,0.02008056640625,0.0
32,0.14,0.935,0.79,0.625,0.415,0.335,0.2,0.715,0.555,4.996685892343521,0.02056884765625,0.0
33,0.14,0.905,0.78,0.6,0.41,0.325,0.225,0.69,0.54,4.980544321238995,0.019866943359375,0.0
34,0.13,0.905,0.78,0.65,0.425,0.325,0.2,0.685,0.545,4.955091290175915,0.0210723876953125,0.0
35,0.125,0.915,0.785,0.65,0.4,0.305,0.19,0.7,0.56,4.934854194521904,0.021331787109375,0.0
36,0.14,0.905,0.85,0.625,0.4,0.34,0.215,0.72,0.545,4.915524438023567,0.0209197998046875,0.0
37,0.135,0.925,0.78,0.655,0.375,0.33,0.205,0.695,0.515,4.896766170859337,0.021484375,0.0
38,0.14,0.915,0.82,0.615,0.395,0.305,0.26,0.705,0.53,4.881973929703236,0.0210418701171875,0.0
39,0.135,0.895,0.76,0.585,0.405,0.3,0.205,0.695,0.555,4.8700855150818825,0.02117919921875,0.0
40,0.13,0.935,0.76,0.625,0.41,0.305,0.225,0.695,0.55,4.850510634481907,0.0235595703125,0.0
16,0.175,0.89,0.815,0.675,0.455,0.335,0.25,0.73,0.605,5.42615470290184,0.014495849609375,0.0
