epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.2,0.945,0.795,0.69,0.45,0.39,0.275,0.77,0.605,5.205731019377708,0.01690673828125,0.0
2,0.155,0.91,0.795,0.61,0.395,0.33,0.225,0.675,0.54,4.982591092586517,0.0210113525390625,0.0
3,0.275,0.945,0.86,0.735,0.57,0.465,0.395,0.825,0.685,4.076228108257055,0.038055419921875,0.0
4,0.295,0.97,0.9,0.8,0.575,0.48,0.37,0.87,0.75,3.665128692984581,0.0498046875,0.0
5,0.135,0.925,0.785,0.625,0.405,0.295,0.21,0.685,0.56,5.593446746468544,0.0119781494140625,0.0
6,0.225,0.93,0.84,0.715,0.47,0.385,0.31,0.775,0.64,3.452593579888344,0.0528106689453125,0.0
7,0.215,0.95,0.825,0.705,0.56,0.42,0.305,0.79,0.68,4.111742161214352,0.039581298828125,0.0
8,0.36,0.965,0.885,0.825,0.66,0.525,0.445,0.85,0.765,3.7847574837505817,0.0454254150390625,0.0
9,0.205,0.93,0.86,0.655,0.47,0.435,0.265,0.815,0.67,4.772401966154575,0.023681640625,0.0
10,0.31,0.97,0.925,0.75,0.61,0.545,0.395,0.85,0.74,3.452670618891716,0.05377197265625,0.0
