epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.015,0.605,0.43,0.18,0.055,0.04,0.03,0.205,0.11,7.760035566985607,0.000701904296875,0.0
2,0.04,0.765,0.565,0.325,0.14,0.12,0.08,0.4,0.265,6.876005031168461,0.001953125,0.0
3,0.1,0.835,0.705,0.45,0.245,0.2,0.135,0.5,0.355,6.548575766384602,0.0035247802734375,0.0
4,0.095,0.865,0.735,0.525,0.3,0.255,0.145,0.63,0.42,6.319080986082554,0.0047760009765625,0.0
5,0.13,0.905,0.755,0.605,0.4,0.26,0.185,0.695,0.52,6.1443070992827415,0.005950927734375,0.0
6,0.135,0.905,0.855,0.645,0.41,0.315,0.24,0.72,0.56,6.002980723977089,0.007720947265625,0.0
7,0.16,0.91,0.83,0.67,0.435,0.305,0.24,0.725,0.6,5.881489470601082,0.0084686279296875,0.0
8,0.16,0.93,0.86,0.69,0.48,0.335,0.225,0.78,0.62,5.772456511855125,0.010040283203125,0.0
9,0.175,0.94,0.81,0.695,0.465,0.365,0.24,0.765,0.605,5.66792106628418,0.010833740234375,0.0
10,0.175,0.92,0.855,0.665,0.465,0.375,0.265,0.765,0.64,5.571509428322315,0.0130157470703125,0.0
11,0.155,0.935,0.84,0.635,0.46,0.37,0.205,0.76,0.64,5.477917924523354,0.0134735107421875,0.0
12,0.19,0.93,0.82,0.65,0.46,0.38,0.245,0.755,0.635,5.38873977214098,0.0140228271484375,0.0
13,0.185,0.935,0.825,0.685,0.485,0.345,0.23,0.775,0.64,5.291340239346027,0.0160369873046875,0.0
14,0.2,0.945,0.795,0.69,0.45,0.39,0.275,0.77,0.605,5.205731019377708,0.01690673828125,0.0
15,0.17,0.89,0.83,0.64,0.475,0.345,0.215,0.785,0.65,5.116017021238804,0.0180511474609375,0.0
16,0.18,0.955,0.78,0.635,0.48,0.375,0.225,0.76,0.6,5.030227452516556,0.018218994140625,0.0
17,0.175,0.955,0.865,0.665,0.485,0.345,0.24,0.765,0.62,4.95122105628252,0.0210723876953125,0.0
18,0.19,0.94,0.83,0.68,0.485,0.36,0.28,0.765,0.625,4.866006903350353,0.0223541259765625,0.0
19,0.18,0.915,0.81,0.63,0.475,0.355,0.27,0.775,0.63,4.788323804736137,0.0233001708984375,0.0
20,0.195,0.925,0.775,0.66,0.48,0.37,0.275,0.77,0.63,4.704723156988621,0.024017333984375,0.0
21,0.195,0.92,0.825,0.68,0.48,0.395,0.245,0.79,0.66,4.626274801790714,0.026580810546875,0.0
22,0.19,0.925,0.82,0.68,0.48,0.39,0.245,0.78,0.64,4.545750707387924,0.0271148681640625,0.0
23,0.19,0.935,0.83,0.68,0.475,0.355,0.25,0.76,0.645,4.475727617740631,0.0293121337890625,0.0
24,0.19,0.9,0.815,0.66,0.44,0.345,0.24,0.75,0.595,4.403645634651184,0.0292816162109375,0.0
25,0.185,0.91,0.81,0.63,0.465,0.355,0.25,0.77,0.62,4.334304876625538,0.0315093994140625,0.0
26,0.2,0.96,0.87,0.655,0.49,0.41,0.235,0.795,0.66,4.270817294716835,0.0342559814453125,0.0
27,0.175,0.905,0.885,0.675,0.485,0.365,0.255,0.735,0.605,4.201934326440096,0.0341339111328125,0.0
28,0.195,0.925,0.815,0.67,0.49,0.39,0.275,0.77,0.665,4.1310776844620705,0.0361328125,0.0
29,0.17,0.945,0.8,0.665,0.44,0.375,0.27,0.795,0.645,4.061458621174097,0.037750244140625,0.0
30,0.16,0.93,0.81,0.65,0.445,0.37,0.2,0.75,0.595,4.005925081670284,0.038818359375,0.0
31,0.18,0.925,0.835,0.675,0.445,0.39,0.245,0.78,0.61,3.951118789613247,0.0391082763671875,0.0
32,0.15,0.915,0.76,0.64,0.415,0.335,0.23,0.745,0.62,3.8906329348683357,0.0415496826171875,0.0
33,0.18,0.895,0.835,0.67,0.445,0.345,0.25,0.785,0.6,3.827391065657139,0.042877197265625,0.0
34,0.185,0.9,0.84,0.655,0.43,0.34,0.25,0.785,0.595,3.769195184111595,0.0444793701171875,0.0
35,0.175,0.885,0.805,0.605,0.42,0.315,0.25,0.745,0.585,3.7199029736220837,0.045196533203125,0.0
36,0.18,0.895,0.785,0.625,0.42,0.37,0.225,0.75,0.575,3.6681884601712227,0.047088623046875,0.0
37,0.18,0.925,0.82,0.695,0.44,0.335,0.25,0.775,0.585,3.6156958043575287,0.0475921630859375,0.0
38,0.175,0.9,0.84,0.63,0.44,0.355,0.225,0.77,0.585,3.559080321341753,0.0485076904296875,0.0
39,0.185,0.935,0.765,0.605,0.435,0.365,0.235,0.75,0.585,3.512272033840418,0.0504302978515625,0.0
40,0.16,0.925,0.835,0.665,0.425,0.37,0.25,0.73,0.585,3.4743384197354317,0.0511932373046875,0.0
14,0.2,0.945,0.795,0.69,0.45,0.39,0.275,0.77,0.605,5.205731019377708,0.01690673828125,0.0
