epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
42.0,0.32,0.955,0.86,0.745,0.6,0.525,0.42,0.855,0.725,3.734355587512255,0.075592041015625,0.0
53.0,0.43,0.94,0.93,0.895,0.715,0.635,0.495,0.935,0.84,2.817199654877186,0.1092529296875,0.0
27.0,0.27,0.91,0.84,0.685,0.53,0.445,0.32,0.76,0.665,4.985634796321392,0.0326690673828125,0.0
28.0,0.265,0.925,0.855,0.68,0.525,0.465,0.36,0.795,0.655,4.875617772340775,0.037109375,0.0
51.0,0.325,0.945,0.89,0.765,0.625,0.515,0.405,0.855,0.74,2.982511695474386,0.103912353515625,0.0
32.0,0.28,0.915,0.865,0.685,0.555,0.48,0.36,0.805,0.685,4.425599090754986,0.0491790771484375,0.0
25.0,0.32,0.96,0.91,0.78,0.595,0.515,0.375,0.85,0.725,4.962239071726799,0.036163330078125,0.0
43.0,0.29,0.92,0.865,0.745,0.605,0.465,0.355,0.81,0.725,3.4524235650897026,0.083709716796875,0.0
36.0,0.225,0.905,0.765,0.61,0.44,0.365,0.26,0.705,0.575,4.305971674621105,0.0523834228515625,0.0
41.0,0.275,0.925,0.82,0.735,0.53,0.475,0.365,0.83,0.675,3.8239143230021,0.069091796875,0.0
