epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.52,0.285,0.115,0.025,0.025,0.005,0.1,0.045,6.980723634362221,0.0007171630859375,0.0
2,0.01,0.575,0.275,0.095,0.035,0.02,0.02,0.115,0.075,6.861494794487953,0.00140380859375,0.0
3,0.01,0.66,0.385,0.16,0.025,0.015,0.015,0.15,0.085,6.39163301885128,0.0051116943359375,0.0
4,0.01,0.74,0.5,0.23,0.085,0.055,0.025,0.25,0.15,6.183626525104046,0.007049560546875,0.0
5,0.05,0.8,0.65,0.455,0.125,0.1,0.07,0.405,0.25,6.054904989898205,0.0100555419921875,0.0
6,0.06,0.815,0.715,0.45,0.24,0.215,0.095,0.55,0.375,5.96011021733284,0.011871337890625,0.0
7,0.085,0.9,0.78,0.565,0.335,0.225,0.13,0.65,0.47,5.879051886498928,0.0131072998046875,0.0
8,0.13,0.895,0.815,0.62,0.45,0.325,0.205,0.695,0.585,5.797665469348431,0.0155792236328125,0.0
9,0.135,0.9,0.765,0.65,0.445,0.35,0.215,0.735,0.575,5.7283762991428375,0.016021728515625,0.0
10,0.205,0.935,0.835,0.735,0.55,0.415,0.29,0.77,0.635,5.658367022871971,0.0181732177734375,0.0
11,0.2,0.93,0.825,0.68,0.48,0.375,0.275,0.775,0.64,5.593242481350899,0.0198211669921875,0.0
12,0.155,0.91,0.795,0.69,0.44,0.355,0.25,0.72,0.595,5.524866133928299,0.0221710205078125,0.0
13,0.215,0.925,0.825,0.715,0.525,0.43,0.315,0.8,0.69,5.461318053305149,0.022674560546875,0.0
14,0.205,0.96,0.865,0.7,0.545,0.44,0.325,0.8,0.675,5.396532297134399,0.0247039794921875,0.0
15,0.21,0.95,0.825,0.7,0.55,0.435,0.29,0.775,0.69,5.334417007863522,0.0257415771484375,0.0
16,0.195,0.925,0.845,0.69,0.49,0.37,0.265,0.77,0.655,5.273694045841694,0.027252197265625,0.0
17,0.205,0.935,0.825,0.705,0.535,0.41,0.305,0.805,0.695,5.2079619243741035,0.029296875,0.0
18,0.27,0.935,0.835,0.71,0.57,0.43,0.36,0.825,0.71,5.148427091538906,0.0304718017578125,0.0
19,0.24,0.94,0.875,0.72,0.595,0.405,0.32,0.775,0.71,5.080084718763828,0.032470703125,0.0
20,0.205,0.93,0.83,0.73,0.555,0.44,0.285,0.795,0.69,5.01628090441227,0.034881591796875,0.0
21,0.265,0.945,0.875,0.755,0.61,0.47,0.39,0.805,0.695,4.951339527964592,0.0356292724609375,0.0
22,0.24,0.935,0.865,0.7,0.545,0.445,0.345,0.81,0.7,4.889884203672409,0.0384674072265625,0.0
23,0.205,0.915,0.825,0.685,0.525,0.385,0.315,0.77,0.66,4.822795145213604,0.0406036376953125,0.0
24,0.25,0.96,0.88,0.765,0.6,0.47,0.385,0.845,0.76,4.7536958530545235,0.042816162109375,0.0
25,0.225,0.955,0.855,0.71,0.58,0.425,0.33,0.8,0.695,4.694846071302891,0.0449981689453125,0.0
26,0.25,0.95,0.86,0.775,0.62,0.45,0.36,0.835,0.73,4.622054025530815,0.0460968017578125,0.0
27,0.24,0.915,0.855,0.715,0.54,0.47,0.33,0.825,0.71,4.552082635462284,0.048675537109375,0.0
28,0.24,0.925,0.845,0.725,0.565,0.435,0.32,0.805,0.72,4.484840460121632,0.051422119140625,0.0
29,0.25,0.955,0.85,0.715,0.575,0.5,0.345,0.815,0.735,4.423544876277447,0.05340576171875,0.0
30,0.24,0.935,0.83,0.755,0.575,0.45,0.35,0.825,0.715,4.354921691119671,0.0551300048828125,0.0
31,0.27,0.935,0.835,0.705,0.585,0.465,0.355,0.815,0.715,4.28297271579504,0.0569000244140625,0.0
32,0.265,0.93,0.865,0.755,0.61,0.485,0.35,0.805,0.725,4.2130671218037605,0.0607757568359375,0.0
33,0.265,0.955,0.85,0.705,0.59,0.43,0.35,0.79,0.72,4.147017851471901,0.061279296875,0.0
34,0.275,0.94,0.87,0.745,0.63,0.465,0.36,0.86,0.755,4.078329961746931,0.063232421875,0.0
35,0.255,0.97,0.86,0.78,0.605,0.48,0.34,0.845,0.725,4.009281575679779,0.0671234130859375,0.0
36,0.28,0.945,0.835,0.775,0.565,0.46,0.36,0.83,0.75,3.9386197067797184,0.07049560546875,0.0
37,0.275,0.93,0.855,0.75,0.595,0.455,0.355,0.82,0.71,3.8688188195228577,0.0722503662109375,0.0
38,0.28,0.97,0.845,0.75,0.635,0.475,0.35,0.83,0.725,3.801230326294899,0.073516845703125,0.0
39,0.245,0.955,0.85,0.745,0.6,0.485,0.375,0.825,0.705,3.7305857241153717,0.0767364501953125,0.0
40,0.24,0.955,0.885,0.765,0.58,0.465,0.36,0.81,0.695,3.6593145206570625,0.07879638671875,0.0
41,0.28,0.945,0.855,0.725,0.58,0.44,0.365,0.795,0.725,3.5925205536186695,0.080718994140625,0.0
42,0.26,0.93,0.83,0.755,0.59,0.495,0.345,0.805,0.7,3.5175633393228054,0.0841217041015625,0.0
43,0.29,0.92,0.865,0.745,0.605,0.465,0.355,0.81,0.725,3.4524235650897026,0.083709716796875,0.0
44,0.28,0.955,0.87,0.71,0.56,0.465,0.365,0.805,0.7,3.3809718899428844,0.0875396728515625,0.0
45,0.275,0.935,0.865,0.735,0.59,0.465,0.36,0.82,0.725,3.321336179971695,0.089691162109375,0.0
46,0.29,0.945,0.91,0.705,0.63,0.455,0.38,0.815,0.7,3.2627561688423157,0.0932464599609375,0.0
47,0.29,0.915,0.865,0.74,0.595,0.51,0.37,0.825,0.715,3.1914109736680984,0.0957794189453125,0.0
48,0.24,0.94,0.845,0.74,0.56,0.425,0.33,0.84,0.725,3.124694064259529,0.0973052978515625,0.0
49,0.27,0.975,0.86,0.72,0.575,0.43,0.335,0.84,0.7,3.064357101917267,0.1009674072265625,0.0
50,0.28,0.965,0.885,0.765,0.57,0.49,0.36,0.835,0.69,2.997364070266485,0.10125732421875,0.0
51,0.29,0.96,0.86,0.725,0.575,0.465,0.36,0.82,0.71,2.9359792470932007,0.1049041748046875,0.0
52,0.235,0.965,0.84,0.705,0.54,0.46,0.325,0.8,0.71,2.8735691383481026,0.107025146484375,0.0
53,0.25,0.915,0.865,0.68,0.54,0.42,0.33,0.82,0.695,2.8253661394119263,0.1084442138671875,0.0
54,0.24,0.935,0.855,0.69,0.515,0.44,0.335,0.79,0.655,2.765904638916254,0.110565185546875,0.0
55,0.27,0.95,0.85,0.73,0.575,0.445,0.34,0.81,0.7,2.706795461475849,0.113555908203125,0.0
56,0.255,0.945,0.86,0.73,0.555,0.46,0.33,0.82,0.705,2.648590937256813,0.114990234375,0.0
57,0.24,0.91,0.88,0.7,0.55,0.45,0.35,0.805,0.69,2.5868291407823563,0.117279052734375,0.0
58,0.24,0.94,0.87,0.71,0.565,0.445,0.365,0.785,0.69,2.547383964061737,0.1173553466796875,0.0
59,0.265,0.9,0.83,0.71,0.56,0.45,0.365,0.83,0.68,2.4941484928131104,0.119354248046875,0.0
60,0.27,0.94,0.865,0.73,0.595,0.465,0.35,0.84,0.73,2.4338870644569397,0.1229705810546875,0.0
61,0.275,0.95,0.865,0.72,0.575,0.495,0.36,0.815,0.72,2.3844944909214973,0.124755859375,0.0
62,0.24,0.9,0.805,0.705,0.5,0.45,0.33,0.79,0.675,2.3329236321151257,0.1262969970703125,0.0
63,0.25,0.94,0.845,0.71,0.54,0.46,0.33,0.825,0.71,2.2959383986890316,0.126953125,0.0
